year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2004,1,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",275,91,32.46,10.97,15.66,0,31.9,1,1,4204,1198,506,546,0,1954
2004,1,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",704,242,40.81,23.82,115.8,0,61.56,13,0,14470,2327,1457,5961,0,4725
2004,1,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",793,187,54.48,23.67,40.09,0,68.76,17,0,9698,2499,1426,1398,0,4375
2004,1,AA,American Airlines Inc.,BDL,"Hartford, CT: Bradley International",368,97,29,13.12,19.91,0,34.97,13,0,5928,1869,900,716,0,2443
2004,1,AA,American Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",93,20,10.26,1.64,2.27,0,5.83,0,0,788,409,69,63,0,247
2004,1,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",453,114,34.76,13.86,21.8,0,43.58,13,1,5724,1757,675,745,0,2547
2004,1,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",1431,357,101.45,35.07,96.34,0,124.15,77,2,20914,6898,1796,3465,0,8755
2004,1,AA,American Airlines Inc.,BUR,"Burbank, CA: Bob Hope",124,33,18.92,3.82,2.23,0,8.03,1,0,1451,838,151,113,0,349
2004,1,AA,American Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",513,116,29.92,20.5,29.71,0,35.88,25,0,5189,1148,958,971,0,2112
2004,1,AA,American Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",119,41,5.46,9.56,8.5,0,17.47,9,1,2642,267,636,342,0,1397
2004,1,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",182,44,19.25,4.12,8.4,0,12.22,13,0,2476,1232,128,594,0,522
2004,1,AA,American Airlines Inc.,CMH,"Columbus, OH: Port Columbus International",119,29,11.06,2.55,6.39,0,9,2,0,1292,617,92,140,0,443
2004,1,AA,American Airlines Inc.,COS,"Colorado Springs, CO: City of Colorado Springs Municipal",155,30,11.94,5.33,6.27,0,6.45,1,0,1189,433,241,203,0,312
2004,1,AA,American Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",62,18,8.28,1.04,2.27,0,6.41,0,0,850,428,38,84,0,300
2004,1,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",840,178,50,22.06,31.46,0,74.49,63,3,9656,2853,1084,1087,0,4632
2004,1,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",734,187,49.53,29.92,48.56,0,58.99,22,2,10213,2241,2396,1619,0,3957
2004,1,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",14034,3241,513.27,243.73,1660.69,7.21,816.11,239,17,151210,37481,14302,55643,252,43532
2004,1,AA,American Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",59,11,5.35,0.85,0.13,0,4.66,0,0,490,240,29,7,0,214
2004,1,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",502,135,37.76,18.93,34.52,0.63,43.16,22,1,6490,1533,947,1204,10,2796
2004,1,AA,American Airlines Inc.,EGE,"Eagle, CO: Eagle County Regional",168,48,15.02,9.78,11.98,0,11.22,8,6,3506,925,502,664,0,1415
2004,1,AA,American Airlines Inc.,ELP,"El Paso, TX: El Paso International",273,82,30.07,16.16,9.54,0,26.23,6,0,4364,1683,739,388,0,1554
2004,1,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",812,198,48.78,26.81,78.66,0,43.76,69,1,12680,3581,1833,3832,0,3434
2004,1,AA,American Airlines Inc.,FAT,"Fresno, CA: Fresno Yosemite International",62,14,6.04,1.77,3.19,0,3,0,0,818,526,79,96,0,117
2004,1,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",792,226,54.17,23,86.49,0,62.33,9,0,11978,2836,1264,3216,0,4662
2004,1,AA,American Airlines Inc.,HDN,"Hayden, CO: Yampa Valley",63,15,4.95,3.39,2.62,0,4.04,2,0,837,259,189,149,0,240
2004,1,AA,American Airlines Inc.,HNL,"Honolulu, HI: Honolulu International",265,74,28.52,6.69,32.95,0,5.85,0,2,3915,2343,298,1055,0,219
2004,1,AA,American Airlines Inc.,HOU,"Houston, TX: William P Hobby",102,17,4.91,1.44,4.1,0,6.55,1,0,890,307,38,189,0,356
2004,1,AA,American Airlines Inc.,HPN,"White Plains, NY: Westchester County",168,57,6.38,10.16,10.74,0,29.73,25,0,4056,575,674,511,0,2296
2004,1,AA,American Airlines Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",62,18,6.44,3.08,2.18,0,6.3,0,0,605,203,86,72,0,244
2004,1,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",362,65,25.12,4.15,25.79,0,9.95,17,0,2936,1358,196,831,0,551
2004,1,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",481,126,29.98,15.92,49.12,0,30.98,9,0,5488,1261,854,1494,0,1879
2004,1,AA,American Airlines Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",62,16,7.17,2.37,2.55,0,3.9,0,0,555,245,84,58,0,168
2004,1,AA,American Airlines Inc.,IND,"Indianapolis, IN: Indianapolis International",331,79,18.51,10.58,15.15,0,34.76,14,0,4568,852,574,644,0,2498
2004,1,AA,American Airlines Inc.,JAC,"Jackson, WY: Jackson Hole",31,12,3.42,4.45,0.8,0,3.32,1,0,1234,415,409,59,0,351
2004,1,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",93,22,9.34,1.9,4.54,0,6.22,0,0,873,394,90,111,0,278
2004,1,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1245,323,99.69,5.14,128.75,0.07,89.35,57,1,21931,8404,322,5351,3,7851
2004,1,AA,American Airlines Inc.,KOA,"Kona, HI: Kona International Airport at Keahole",50,17,7.11,0,7.4,0,2.49,0,0,513,240,0,167,0,106
2004,1,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",779,220,74.08,27.85,61.03,0,57.03,7,0,11132,3627,1737,2228,0,3540
2004,1,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",2597,676,159.46,101.33,280.07,4,131.14,60,3,35137,10069,6560,9567,291,8650
2004,1,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",1975,636,97.45,48.09,310.01,0,180.45,134,1,35008,5265,2573,15892,0,11278
2004,1,AA,American Airlines Inc.,LGB,"Long Beach, CA: Long Beach Airport",210,63,18.9,7.57,22.08,2.43,12.03,9,0,2612,786,264,869,117,576
2004,1,AA,American Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",31,4,2.22,0,1.78,0,0,0,0,255,208,0,47,0,0
2004,1,AA,American Airlines Inc.,MCI,"Kansas City, MO: Kansas City International",591,156,45.42,23.59,33.25,0,53.75,26,0,9489,2450,1815,1560,0,3664
2004,1,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",934,263,87.41,37.24,65.16,0,73.19,6,0,15195,5636,2115,2381,0,5063
2004,1,AA,American Airlines Inc.,MDW,"Chicago, IL: Chicago Midway International",149,32,6.33,4.95,14.94,0,5.79,6,2,1691,342,275,763,0,311
2004,1,AA,American Airlines Inc.,MEM,"Memphis, TN: Memphis International",65,16,7.68,2.14,2.42,0,3.77,0,0,511,228,49,67,0,167
