"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2004,1,"DL","Delta Air Lines Inc.","ABQ","Albuquerque, NM: Albuquerque International Sunport",180.00,33.00,9.10,0.68,14.93,0.00,8.30,1.00,0.00,1602.00,441.00,19.00,567.00,0.00,575.00,
2004,1,"DL","Delta Air Lines Inc.","ALB","Albany, NY: Albany International",202.00,54.00,20.37,0.35,18.61,0.00,14.67,2.00,0.00,2181.00,903.00,29.00,665.00,0.00,584.00,
2004,1,"DL","Delta Air Lines Inc.","ANC","Anchorage, AK: Ted Stevens Anchorage International",62.00,29.00,8.94,0.13,11.80,0.00,8.14,0.00,0.00,1325.00,524.00,8.00,391.00,0.00,402.00,
2004,1,"DL","Delta Air Lines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",17199.00,3578.00,538.77,102.81,2270.81,10.43,655.18,408.00,15.00,166048.00,33347.00,9032.00,91200.00,667.00,31802.00,
2004,1,"DL","Delta Air Lines Inc.","AUS","Austin, TX: Austin - Bergstrom International",209.00,45.00,13.81,2.14,17.58,0.00,11.46,4.00,0.00,2123.00,906.00,157.00,455.00,0.00,605.00,
2004,1,"DL","Delta Air Lines Inc.","BDL","Hartford, CT: Bradley International",532.00,110.00,28.87,1.37,59.19,0.00,20.57,4.00,0.00,3992.00,1203.00,61.00,1749.00,0.00,979.00,
2004,1,"DL","Delta Air Lines Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",295.00,49.00,12.39,1.58,23.99,0.00,11.04,11.00,0.00,1876.00,598.00,28.00,739.00,0.00,511.00,
2004,1,"DL","Delta Air Lines Inc.","BIL","Billings, MT: Billings Logan International",3.00,1.00,0.47,0.00,0.53,0.00,0.00,0.00,0.00,32.00,15.00,0.00,17.00,0.00,0.00,
2004,1,"DL","Delta Air Lines Inc.","BNA","Nashville, TN: Nashville International",234.00,49.00,9.79,1.29,19.79,0.00,18.13,5.00,0.00,1790.00,283.00,110.00,525.00,0.00,872.00,
2004,1,"DL","Delta Air Lines Inc.","BOI","Boise, ID: Boise Air Terminal",62.00,10.00,0.88,0.62,5.68,0.00,2.83,0.00,0.00,342.00,25.00,37.00,171.00,0.00,109.00,
2004,1,"DL","Delta Air Lines Inc.","BOS","Boston, MA: Logan International",1537.00,230.00,49.87,3.62,100.16,0.00,76.35,25.00,1.00,8947.00,2164.00,214.00,3016.00,0.00,3553.00,
2004,1,"DL","Delta Air Lines Inc.","BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",57.00,15.00,2.17,0.00,11.34,0.00,1.48,1.00,2.00,401.00,103.00,0.00,236.00,0.00,62.00,
2004,1,"DL","Delta Air Lines Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",427.00,92.00,19.82,2.96,49.92,0.00,19.30,9.00,0.00,3443.00,778.00,216.00,1599.00,0.00,850.00,
2004,1,"DL","Delta Air Lines Inc.","BZN","Bozeman, MT: Bozeman Yellowstone International",60.00,19.00,2.81,0.00,9.00,0.00,7.20,1.00,0.00,699.00,104.00,0.00,351.00,0.00,244.00,
2004,1,"DL","Delta Air Lines Inc.","CAE","Columbia, SC: Columbia Metropolitan",117.00,30.00,11.15,0.29,13.20,0.00,5.37,10.00,0.00,827.00,347.00,6.00,292.00,0.00,182.00,
2004,1,"DL","Delta Air Lines Inc.","CHS","Charleston, SC: Charleston AFB/International",156.00,34.00,9.42,0.85,10.83,0.00,12.91,4.00,0.00,1263.00,397.00,20.00,324.00,0.00,522.00,
2004,1,"DL","Delta Air Lines Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",297.00,67.00,16.73,0.51,35.14,0.00,14.62,16.00,1.00,2683.00,913.00,68.00,1038.00,0.00,664.00,
2004,1,"DL","Delta Air Lines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",241.00,49.00,9.63,0.36,26.67,0.00,12.34,15.00,0.00,1688.00,411.00,14.00,618.00,0.00,645.00,
2004,1,"DL","Delta Air Lines Inc.","CMH","Columbus, OH: Port Columbus International",296.00,55.00,18.04,2.18,20.56,0.00,14.22,6.00,1.00,2059.00,752.00,70.00,699.00,0.00,538.00,
2004,1,"DL","Delta Air Lines Inc.","COS","Colorado Springs, CO: City of Colorado Springs Municipal",61.00,13.00,1.34,0.00,11.66,0.00,0.00,1.00,0.00,386.00,92.00,0.00,294.00,0.00,0.00,
2004,1,"DL","Delta Air Lines Inc.","CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",4652.00,779.00,154.65,24.29,418.95,2.65,178.46,130.00,9.00,32413.00,8960.00,1615.00,12733.00,77.00,9028.00,
2004,1,"DL","Delta Air Lines Inc.","DAB","Daytona Beach, FL: Daytona Beach International",153.00,35.00,13.36,0.42,6.50,0.00,14.73,1.00,0.00,1717.00,568.00,15.00,207.00,0.00,927.00,
2004,1,"DL","Delta Air Lines Inc.","DAY","Dayton, OH: James M Cox/Dayton International",212.00,43.00,15.87,0.35,13.61,0.00,13.17,6.00,1.00,1868.00,838.00,35.00,387.00,0.00,608.00,
2004,1,"DL","Delta Air Lines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",980.00,160.00,41.01,3.23,89.20,0.00,26.56,45.00,2.00,5298.00,1598.00,225.00,2574.00,0.00,901.00,
2004,1,"DL","Delta Air Lines Inc.","DEN","Denver, CO: Denver International",526.00,130.00,36.88,2.52,67.77,0.00,22.82,3.00,1.00,4689.00,1352.00,413.00,1939.00,0.00,985.00,
2004,1,"DL","Delta Air Lines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",1785.00,325.00,85.18,12.02,174.36,0.00,53.44,42.00,0.00,13377.00,4603.00,604.00,5687.00,0.00,2483.00,
2004,1,"DL","Delta Air Lines Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",260.00,61.00,15.29,0.38,31.03,0.00,14.29,19.00,0.00,2003.00,591.00,22.00,823.00,0.00,567.00,
2004,1,"DL","Delta Air Lines Inc.","EGE","Eagle, CO: Eagle County Regional",36.00,18.00,6.09,0.00,9.40,0.00,2.50,1.00,2.00,667.00,331.00,0.00,250.00,0.00,86.00,
2004,1,"DL","Delta Air Lines Inc.","ELP","El Paso, TX: El Paso International",31.00,11.00,0.94,0.00,3.97,0.00,6.08,0.00,0.00,445.00,41.00,0.00,117.00,0.00,287.00,
