"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2004,1,"WN","Southwest Airlines Co.","ABQ","Albuquerque, NM: Albuquerque International Sunport",1835.00,236.00,69.45,0.54,41.48,0.00,124.53,28.00,0.00,9112.00,2945.00,57.00,1297.00,0.00,4813.00,
2004,1,"WN","Southwest Airlines Co.","ALB","Albany, NY: Albany International",293.00,53.00,11.54,2.46,13.97,0.00,25.04,9.00,0.00,2789.00,727.00,227.00,631.00,0.00,1204.00,
2004,1,"WN","Southwest Airlines Co.","AMA","Amarillo, TX: Rick Husband Amarillo International",305.00,33.00,12.85,0.00,2.63,0.72,16.80,4.00,0.00,1052.00,451.00,0.00,67.00,18.00,516.00,
2004,1,"WN","Southwest Airlines Co.","AUS","Austin, TX: Austin - Bergstrom International",1336.00,157.00,47.93,0.04,21.40,0.00,87.62,27.00,1.00,6202.00,1730.00,5.00,807.00,0.00,3660.00,
2004,1,"WN","Southwest Airlines Co.","BDL","Hartford, CT: Bradley International",467.00,65.00,16.09,3.61,14.92,0.00,30.38,8.00,1.00,3109.00,621.00,339.00,666.00,0.00,1483.00,
2004,1,"WN","Southwest Airlines Co.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",781.00,122.00,33.72,3.11,19.35,0.00,65.83,6.00,2.00,4824.00,1173.00,233.00,814.00,0.00,2604.00,
2004,1,"WN","Southwest Airlines Co.","BNA","Nashville, TN: Nashville International",2520.00,324.00,83.84,10.36,74.42,0.79,154.58,36.00,1.00,14343.00,3938.00,629.00,2428.00,19.00,7329.00,
2004,1,"WN","Southwest Airlines Co.","BOI","Boise, ID: Boise Air Terminal",525.00,97.00,18.10,7.70,22.39,0.95,47.86,10.00,3.00,4024.00,650.00,588.00,587.00,100.00,2099.00,
2004,1,"WN","Southwest Airlines Co.","BUF","Buffalo, NY: Buffalo Niagara International",290.00,50.00,16.45,1.49,15.86,0.00,16.19,5.00,0.00,2471.00,815.00,155.00,722.00,0.00,779.00,
2004,1,"WN","Southwest Airlines Co.","BUR","Burbank, CA: Bob Hope",1504.00,221.00,58.02,6.14,19.12,0.80,136.92,17.00,7.00,8123.00,1846.00,414.00,760.00,13.00,5090.00,
2004,1,"WN","Southwest Airlines Co.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",4729.00,605.00,131.93,14.67,129.74,1.83,326.84,109.00,18.00,28072.00,6286.00,957.00,4583.00,173.00,16073.00,
2004,1,"WN","Southwest Airlines Co.","CLE","Cleveland, OH: Cleveland-Hopkins International",549.00,136.00,27.75,7.90,48.83,0.90,50.63,11.00,1.00,6386.00,1239.00,941.00,1411.00,28.00,2767.00,
2004,1,"WN","Southwest Airlines Co.","CMH","Columbus, OH: Port Columbus International",470.00,64.00,21.95,1.91,13.44,0.00,26.70,2.00,0.00,3044.00,804.00,148.00,533.00,0.00,1559.00,
2004,1,"WN","Southwest Airlines Co.","CRP","Corpus Christi, TX: Corpus Christi International",163.00,18.00,3.90,0.00,3.00,0.00,11.11,1.00,0.00,669.00,149.00,0.00,71.00,0.00,449.00,
2004,1,"WN","Southwest Airlines Co.","DAL","Dallas, TX: Dallas Love Field",3546.00,293.00,65.92,11.73,28.12,0.00,187.22,144.00,14.00,13120.00,2297.00,1742.00,986.00,0.00,8095.00,
2004,1,"WN","Southwest Airlines Co.","DTW","Detroit, MI: Detroit Metro Wayne County",488.00,76.00,20.80,4.58,26.53,0.00,24.09,8.00,1.00,3159.00,939.00,218.00,761.00,0.00,1241.00,
2004,1,"WN","Southwest Airlines Co.","ELP","El Paso, TX: El Paso International",1067.00,140.00,30.93,1.00,21.44,1.38,85.26,13.00,0.00,5061.00,1030.00,41.00,574.00,24.00,3392.00,
2004,1,"WN","Southwest Airlines Co.","FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",1087.00,183.00,42.74,4.14,47.85,0.04,88.23,8.00,0.00,9025.00,1777.00,258.00,1943.00,2.00,5045.00,
2004,1,"WN","Southwest Airlines Co.","GEG","Spokane, WA: Spokane International",433.00,87.00,9.78,7.69,16.61,0.83,52.09,20.00,1.00,3286.00,344.00,516.00,433.00,18.00,1975.00,
2004,1,"WN","Southwest Airlines Co.","HOU","Houston, TX: William P Hobby",4031.00,477.00,94.71,10.67,80.27,2.20,289.15,139.00,4.00,19494.00,3720.00,666.00,2338.00,62.00,12708.00,
2004,1,"WN","Southwest Airlines Co.","HRL","Harlingen/San Benito, TX: Valley International",348.00,40.00,14.28,1.62,2.15,0.05,21.91,4.00,0.00,1371.00,454.00,80.00,67.00,3.00,767.00,
2004,1,"WN","Southwest Airlines Co.","IAH","Houston, TX: George Bush Intercontinental/Houston",158.00,16.00,3.37,1.44,4.25,0.00,6.94,3.00,0.00,665.00,141.00,74.00,129.00,0.00,321.00,
2004,1,"WN","Southwest Airlines Co.","IND","Indianapolis, IN: Indianapolis International",506.00,93.00,24.56,2.01,16.99,0.00,49.44,2.00,0.00,4436.00,1177.00,121.00,757.00,0.00,2381.00,
2004,1,"WN","Southwest Airlines Co.","ISP","Islip, NY: Long Island MacArthur",722.00,105.00,33.47,2.91,25.41,0.47,42.75,14.00,2.00,4694.00,1416.00,205.00,928.00,8.00,2137.00,
2004,1,"WN","Southwest Airlines Co.","JAN","Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",274.00,36.00,11.06,1.55,5.19,1.20,16.99,6.00,0.00,1417.00,426.00,49.00,204.00,22.00,716.00,
2004,1,"WN","Southwest Airlines Co.","JAX","Jacksonville, FL: Jacksonville International",590.00,87.00,13.76,0.84,17.98,0.00,54.43,5.00,1.00,4625.00,638.00,101.00,682.00,0.00,3204.00,
2004,1,"WN","Southwest Airlines Co.","LAS","Las Vegas, NV: McCarran International",5469.00,792.00,158.45,11.33,210.05,6.09,406.08,74.00,3.00,29481.00,5646.00,597.00,6172.00,281.00,16785.00,
2004,1,"WN","Southwest Airlines Co.","LAX","Los Angeles, CA: Los Angeles International",3290.00,459.00,115.38,6.11,97.91,1.70,237.89,90.00,3.00,18091.00,4109.00,801.00,3171.00,40.00,9970.00,
2004,1,"WN","Southwest Airlines Co.","LBB","Lubbock, TX: Lubbock Preston Smith International",405.00,51.00,9.60,1.00,5.42,0.45,34.53,4.00,1.00,1903.00,342.00,25.00,117.00,10.00,1409.00,
2004,1,"WN","Southwest Airlines Co.","LIT","Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",427.00,57.00,12.59,1.49,9.48,0.94,32.49,3.00,0.00,2452.00,460.00,84.00,283.00,17.00,1608.00,
2004,1,"WN","Southwest Airlines Co.","MAF","Midland/Odessa, TX: Midland International",395.00,47.00,11.95,0.10,4.70,0.00,30.26,8.00,0.00,1849.00,465.00,2.00,132.00,0.00,1250.00,
2004,1,"WN","Southwest Airlines Co.","MCI","Kansas City, MO: Kansas City International",2009.00,326.00,82.88,11.21,76.25,2.56,153.10,46.00,3.00,13989.00,3677.00,556.00,2281.00,56.00,7419.00,
2004,1,"WN","Southwest Airlines Co.","MCO","Orlando, FL: Orlando International",1956.00,287.00,69.74,4.27,67.55,2.37,143.07,11.00,1.00,13785.00,3330.00,493.00,2472.00,105.00,7385.00,
2004,1,"WN","Southwest Airlines Co.","MDW","Chicago, IL: Chicago Midway International",3835.00,641.00,91.65,55.21,234.68,3.08,256.38,104.00,50.00,33651.00,3914.00,5762.00,10112.00,237.00,13626.00,
2004,1,"WN","Southwest Airlines Co.","MHT","Manchester, NH: Manchester-Boston Regional",656.00,115.00,29.63,2.73,29.78,0.00,52.87,8.00,2.00,5336.00,1280.00,334.00,1107.00,0.00,2615.00,
2004,1,"WN","Southwest Airlines Co.","MSY","New Orleans, LA: Louis Armstrong New Orleans International",1730.00,235.00,72.97,1.69,32.48,0.53,127.34,21.00,0.00,9141.00,2777.00,202.00,1005.00,10.00,5147.00,
2004,1,"WN","Southwest Airlines Co.","OAK","Oakland, CA: Metropolitan Oakland International",3540.00,428.00,78.55,7.43,75.13,3.71,263.17,74.00,2.00,17597.00,2956.00,720.00,2395.00,107.00,11419.00,
2004,1,"WN","Southwest Airlines Co.","OKC","Oklahoma City, OK: Will Rogers World",582.00,94.00,27.34,2.49,16.37,0.00,47.79,8.00,6.00,4028.00,1052.00,158.00,494.00,0.00,2324.00,
2004,1,"WN","Southwest Airlines Co.","OMA","Omaha, NE: Eppley Airfield",385.00,85.00,16.33,2.64,12.51,1.21,52.32,7.00,0.00,3866.00,689.00,107.00,445.00,49.00,2576.00,
