"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2004,1,"UA","United Air Lines Inc.","ABQ","Albuquerque, NM: Albuquerque International Sunport",155.00,24.00,10.87,0.00,6.73,0.00,6.40,0.00,0.00,1057.00,439.00,0.00,234.00,0.00,384.00,
2004,1,"UA","United Air Lines Inc.","ALB","Albany, NY: Albany International",67.00,21.00,5.74,0.00,3.81,0.00,11.45,1.00,0.00,1749.00,342.00,0.00,104.00,0.00,1303.00,
2004,1,"UA","United Air Lines Inc.","ANC","Anchorage, AK: Ted Stevens Anchorage International",62.00,14.00,2.83,0.74,8.28,0.00,2.14,0.00,0.00,543.00,83.00,28.00,312.00,0.00,120.00,
2004,1,"UA","United Air Lines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",394.00,105.00,22.21,0.36,43.12,0.00,39.32,6.00,0.00,6753.00,1534.00,27.00,1955.00,0.00,3237.00,
2004,1,"UA","United Air Lines Inc.","AUS","Austin, TX: Austin - Bergstrom International",62.00,14.00,3.94,0.72,3.71,0.00,5.63,0.00,0.00,807.00,194.00,48.00,192.00,0.00,373.00,
2004,1,"UA","United Air Lines Inc.","BDL","Hartford, CT: Bradley International",212.00,61.00,22.25,1.41,11.63,0.00,25.71,6.00,0.00,3291.00,718.00,140.00,356.00,0.00,2077.00,
2004,1,"UA","United Air Lines Inc.","BIL","Billings, MT: Billings Logan International",62.00,14.00,6.22,0.72,1.90,0.00,5.15,0.00,0.00,1048.00,272.00,171.00,117.00,0.00,488.00,
2004,1,"UA","United Air Lines Inc.","BOI","Boise, ID: Boise Air Terminal",124.00,47.00,12.96,1.34,11.99,0.00,20.72,2.00,1.00,2843.00,627.00,44.00,548.00,0.00,1624.00,
2004,1,"UA","United Air Lines Inc.","BOS","Boston, MA: Logan International",797.00,123.00,34.02,3.89,27.54,0.00,57.54,26.00,0.00,6892.00,1815.00,291.00,908.00,0.00,3878.00,
2004,1,"UA","United Air Lines Inc.","BTV","Burlington, VT: Burlington International",31.00,16.00,2.51,0.00,1.53,0.00,11.95,1.00,0.00,993.00,198.00,0.00,44.00,0.00,751.00,
2004,1,"UA","United Air Lines Inc.","BUF","Buffalo, NY: Buffalo Niagara International",68.00,31.00,7.38,0.35,6.60,0.00,16.67,1.00,0.00,2994.00,652.00,38.00,208.00,0.00,2096.00,
2004,1,"UA","United Air Lines Inc.","BUR","Burbank, CA: Bob Hope",120.00,18.00,2.48,0.00,1.67,0.00,13.85,0.00,0.00,1384.00,106.00,0.00,177.00,0.00,1101.00,
2004,1,"UA","United Air Lines Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",469.00,101.00,26.32,3.26,22.25,0.00,49.17,7.00,0.00,5273.00,1251.00,191.00,910.00,0.00,2921.00,
2004,1,"UA","United Air Lines Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",248.00,67.00,15.06,1.85,13.64,0.00,36.45,6.00,0.00,4751.00,945.00,72.00,524.00,0.00,3210.00,
2004,1,"UA","United Air Lines Inc.","CLT","Charlotte, NC: Charlotte Douglas International",244.00,61.00,16.87,0.00,10.01,0.00,34.12,7.00,0.00,4110.00,895.00,0.00,384.00,0.00,2831.00,
2004,1,"UA","United Air Lines Inc.","CMH","Columbus, OH: Port Columbus International",280.00,77.00,21.87,1.87,8.48,0.00,44.79,9.00,0.00,4855.00,1183.00,84.00,366.00,0.00,3222.00,
2004,1,"UA","United Air Lines Inc.","COS","Colorado Springs, CO: City of Colorado Springs Municipal",120.00,25.00,6.83,0.10,8.64,0.00,9.42,2.00,0.00,1414.00,283.00,18.00,368.00,0.00,745.00,
