"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2004,1,"US","US Airways Inc.","ALB","Albany, NY: Albany International",267.00,51.00,18.14,0.00,17.54,0.00,15.32,3.00,0.00,2306.00,643.00,0.00,882.00,0.00,781.00,
2004,1,"US","US Airways Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",200.00,50.00,8.85,0.10,30.59,0.00,10.45,6.00,0.00,2229.00,309.00,4.00,1324.00,0.00,592.00,
2004,1,"US","US Airways Inc.","BDL","Hartford, CT: Bradley International",479.00,86.00,29.92,0.95,26.91,0.00,28.21,3.00,1.00,3972.00,1237.00,40.00,1237.00,0.00,1458.00,
2004,1,"US","US Airways Inc.","BNA","Nashville, TN: Nashville International",236.00,45.00,12.80,0.38,23.41,0.00,8.41,1.00,0.00,1509.00,412.00,6.00,753.00,0.00,338.00,
2004,1,"US","US Airways Inc.","BOS","Boston, MA: Logan International",1616.00,197.00,48.65,3.19,78.72,0.00,66.44,43.00,0.00,9323.00,2170.00,78.00,3367.00,0.00,3708.00,
2004,1,"US","US Airways Inc.","BTV","Burlington, VT: Burlington International",31.00,9.00,1.54,0.10,2.12,0.00,5.24,0.00,0.00,630.00,49.00,27.00,208.00,0.00,346.00,
2004,1,"US","US Airways Inc.","BUF","Buffalo, NY: Buffalo Niagara International",274.00,58.00,17.64,0.00,18.91,0.00,21.45,2.00,0.00,2104.00,603.00,0.00,708.00,0.00,793.00,
2004,1,"US","US Airways Inc.","BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",455.00,104.00,25.17,0.73,35.99,0.00,42.11,3.00,0.00,4749.00,948.00,80.00,1611.00,0.00,2110.00,
2004,1,"US","US Airways Inc.","CHS","Charleston, SC: Charleston AFB/International",150.00,14.00,3.04,0.64,5.88,0.00,4.44,3.00,0.00,558.00,96.00,30.00,245.00,0.00,187.00,
2004,1,"US","US Airways Inc.","CLE","Cleveland, OH: Cleveland-Hopkins International",31.00,5.00,2.53,0.08,1.12,0.00,1.27,0.00,0.00,207.00,93.00,5.00,69.00,0.00,40.00,
2004,1,"US","US Airways Inc.","CLT","Charlotte, NC: Charlotte Douglas International",7196.00,986.00,173.88,20.50,415.04,0.00,376.58,114.00,15.00,39612.00,7718.00,1039.00,13640.00,0.00,17215.00,
2004,1,"US","US Airways Inc.","CMH","Columbus, OH: Port Columbus International",177.00,36.00,11.25,1.42,9.97,0.00,13.37,1.00,0.00,1775.00,523.00,136.00,535.00,0.00,581.00,
